id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,census_track
237210,Manhattan Loft in Prime East Village Location,1243192,Jacqueline,Manhattan,Greenwich Village,40.73268,-73.99255,Entire home/apt,241,30,0,,,1,249,3.6061e+14
239055,Nolita Penthouse_Private Deck_Elev_,65064,Ashley & Nir,Manhattan,Chinatown,40.718920000000004,-73.99628,Entire home/apt,300,7,2,2014-10-06,0.03,1,0,3.6061e+14
239733,Astoria Garden Suite,1256874,Nancy,Queens,Ditmars Steinway,40.776790000000005,-73.91686999999999,Entire home/apt,75,28,49,2019-06-26,0.53,1,313,3.6081e+14
239766,Lower East Side/Chinatown 1 Bedroom,1257309,Austin,Manhattan,Lower East Side,40.71693,-73.98948,Entire home/apt,100,5,8,2018-05-18,0.11,1,0,3.6061e+14
239826,"Amazing 1 bed, live like a Newyorkr",1257760,Jay,Manhattan,Gramercy,40.73685,-73.98359,Entire home/apt,399,1,0,,,1,12,3.6061e+14
239883,Private Room in Fort Green BK close to city,136962,Li,Brooklyn,Fort Greene,40.68501,-73.97019,Private room,85,5,124,2019-05-25,1.32,1,69,3.6047e+14
239899,Spacious & Charming by Prospect Pk,1258363,Todd,Brooklyn,Prospect-Lefferts Gardens,40.66068,-73.96003,Entire home/apt,80,21,5,2018-12-19,0.12,1,0,3.6047e+14
240800,Private Room Near Brooklyn Museum ,1263176,Joseph,Brooklyn,Prospect Heights,40.67722,-73.96542,Private room,55,1,147,2019-06-30,1.57,1,293,3.6047e+14
241140,The Notorious B.N.B. { The Wallace },1177497,Jessica,Brooklyn,Clinton Hill,40.68975,-73.96703000000001,Private room,438,1,43,2019-04-14,0.46,11,363,3.6047e+14
241159,Clinton Hill 1 Bed Bright Loft Apartment,1264655,Ruari,Brooklyn,Bedford-Stuyvesant,40.692209999999996,-73.95866,Entire home/apt,110,6,8,2019-01-03,0.33,1,4,3.6047e+14
241862,Great Studio in W. Village - NYC!,1269455,Mike,Manhattan,West Village,40.729690000000005,-74.00635,Entire home/apt,200,2,37,2019-01-02,0.39,1,257,3.6061e+14
242532,The Notorious B.N.B. { The Swoon },1177497,Jessica,Brooklyn,Clinton Hill,40.6893,-73.96602,Private room,279,1,120,2019-06-19,1.28,11,362,3.6047e+14
242643,"BIG 1br, SLEEPS 4, dishwashr, TV",1273825,Lauryn,Brooklyn,Williamsburg,40.70832,-73.94157,Entire home/apt,137,1,24,2019-01-01,0.29,1,0,3.6047e+14
243229,2BR  Apt - 20min to Soho,1276497,Alon,Brooklyn,Bedford-Stuyvesant,40.68016,-73.94878,Entire home/apt,280,3,5,2017-07-09,0.05,1,365,3.6047e+14
243708,Williamsburg  - Quiet and Comfy stay,288711,Andy,Brooklyn,Williamsburg,40.70875,-73.95508000000001,Entire home/apt,199,30,242,2019-04-01,2.59,1,102,3.6047e+14
245504,One Fabulous Private Room,714200,Baron,Manhattan,Inwood,40.85888,-73.92886,Private room,71,4,229,2019-06-21,2.45,1,26,3.6061e+14
245544,NY/ Big Room for 2 near Manhattan,1260921,Victor,Bronx,Kingsbridge,40.8679,-73.90023000000001,Private room,42,2,108,2019-06-19,1.36,2,302,3.6005e+14
245574,Brooklyn Brownstone apartment,1288460,Al-,Brooklyn,Bedford-Stuyvesant,40.6889,-73.95383000000001,Entire home/apt,180,2,181,2019-06-05,1.92,1,280,3.6047e+14
245607,big 1 bedroom apt very central,825022,Jaidev,Manhattan,Chelsea,40.75127,-73.99637,Entire home/apt,226,5,34,2019-07-01,0.39,1,302,3.6061e+14
246134,"Lovely, Large Room in Crown Heights",283604,Shelley,Brooklyn,Crown Heights,40.67607,-73.94421,Private room,85,3,5,2016-10-02,0.05,1,281,3.6047e+14
246351,"Sweet Apt, Steps From Gramercy Park",1292250,Jerry,Manhattan,Gramercy,40.73834,-73.9823,Entire home/apt,135,1,5,2015-08-17,0.06,1,0,3.6061e+14
246916,Quality Cozy Studio Next to Subway,3647,Rafael,Queens,Elmhurst,40.7347,-73.88065999999999,Entire home/apt,79,4,60,2019-06-25,0.64,2,297,3.6081e+14
246938,Scandinavian-apt for up to 5. LES,936630,Jens,Manhattan,Lower East Side,40.718759999999996,-73.98850999999999,Entire home/apt,154,1,238,2019-06-23,2.59,1,246,3.6061e+14
248865,Loft Suite @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73787,-73.95385,Entire home/apt,199,3,34,2019-04-22,0.37,28,60,3.6047e+14
248871,4 BEDROOM -2BATHRM WEST VILLAGE DUPLEX  TOWNHOUSE,605463,West Village,Manhattan,West Village,40.73066,-74.00287,Entire home/apt,700,3,131,2019-06-24,1.4,4,296,3.6061e+14
249414,Large & bright 900ft² 1br in WV,1306587,Andy,Manhattan,West Village,40.73291,-74.00059,Entire home/apt,246,4,6,2017-06-28,0.16,1,0,3.6061e+14
249618,At a very nice area in the WestSide,1307773,Karina,Manhattan,Washington Heights,40.85099,-73.92822,Private room,125,60,4,2015-07-03,0.06,1,364,3.6061e+14
249867,HANCOCK VERY SMALL ROOM,758441,Fred,Brooklyn,Bedford-Stuyvesant,40.68707,-73.91918000000001,Private room,100,1,7,2018-10-07,0.08,4,281,3.6047e+14
250259,Pre-War Williamsburg Loft,1311398,Ben,Brooklyn,Williamsburg,40.7184,-73.96019,Entire home/apt,295,5,125,2019-07-07,3.04,1,0,3.6047e+14
250311,1 Bedroom Available In My Two Bedroom Flat,945499,Kyle,Brooklyn,Crown Heights,40.67495,-73.95563,Private room,150,3,0,,,1,0,3.6047e+14
250323,SPACIOUS PRIVATE LITTLE ITALY FLAT,1311870,Christy,Manhattan,Chinatown,40.71582,-73.99902,Entire home/apt,119,1,49,2014-12-03,0.58,1,0,3.6061e+14
